locality,builtup_area_sqft,total_price,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,facing,furnished,property_age,gymnasium,children's_play_area,club_house,lift(s),swimming_pool,landscaped_gardens,rain_water_harvesting,maintenance_staff,jogging_track,sports_facility,car_parking,24_x_7_security,full_power_backup,locality_score,project_score,builder_experience,indoor_games,atm,intercom,school,pincode,multipurpose_room,vaastu_compliant,cafeteria,staff_quarter,hospital,golf_course
Dasna,1198.0,6019000.0,INR,1.0,1,0,"This plot is situated in Uppal Chadha Hi Tech Developers Sector 7 Plots, Dasna, Ghaziabad. It has a salable area of 1198 sqft and is available at a price of Rs. 5,024 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,northeast,0,2,1,0,0,0,1,0,,,0,0,,0,0,7.2,,2022.0,,,,,,,,,,,
Govindpuram,909.0,2845000.0,INR,1.0,0,0,"It has an area of 909 sqft and is priced at Rs. 28.45 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,927.0,3125000.0,INR,1.0,0,0,"A plot property is available for sale in Govindpuram, Ghaziabad. It has a salable area of 927 sqft and is available at a price of Rs. 3,371 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,900.0,2878000.0,INR,1.0,0,0,"A plot is available for sale in Govindpuram, Ghaziabad. It has an area of 900 sqft and is priced at Rs. 28.78 lac . Its entry is northeast facing. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,900.0,3221000.0,INR,1.0,1,0,"A plot is available at a prime location in Govindpuram. It has an area of 900 sqft and is priced at Rs. 32.21 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,900.0,3121000.0,INR,1.0,0,0,"A plot is available at a prime location in Govindpuram. It has an area of 900 sqft and is priced at Rs. 31.21 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,900.0,2880000.0,INR,1.0,0,0,"A plot is available for sale in Govindpuram, Ghaziabad. It has an area of 900 sqft and is priced at Rs. 28.80 lac . Its entry is northeast facing. The society is well connected by different modes of transportation. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,450.0,1700000.0,INR,1.0,0,0,"A plot property is available for sale in Govindpuram, Ghaziabad. It has an area of 450 sqft and is priced at Rs. 17.00 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
sanjay nagar,900.0,2871000.0,INR,1.0,1,0,"A plot is available at a prime location in sanjay nagar. It has a salable area of 900 sqft and is available at a price of Rs. 3,190 per sqft. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,990.0,2999000.0,INR,1.0,1,0,"It has a salable area of 990 sqft and is available at a price of Rs. 3,029 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,540.0,1800000.0,INR,1.0,0,0,"This plot is situated in Shree Radhe Krishan Properties Homes 1, Govindpuram. It has an area of 540 sqft and is priced at Rs. 18.00 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,northeast,0,6,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,900.0,2812000.0,INR,1.0,1,0,"A plot property is available for sale in Govindpuram, Ghaziabad. It has a salable area of 900 sqft and is available at a price of Rs. 3,124 per sqft. It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
sanjay nagar,675.0,2095000.0,INR,1.0,0,0,"It has an area of 675 sqft and is priced at Rs. 20.95 lac . It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,north,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Dasna,495.0,1470000.0,INR,1.0,0,0,"This plot is situated in Dasna. It has an area of 495 sqft. The property is available at a price of Rs. 14.70 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.2,,,,,,,,,,,,,
Raj Nagar Extension,927.0,5500000.0,INR,0.0,1,0,"A plot property is available for sale in Raj Nagar Extension, Ghaziabad. It has a salable area of 927 sqft and is available at a price of Rs. 5,933 per sqft. It is facing northeast direction. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Govindpuram,900.0,3011000.0,INR,1.0,0,0,"This plot is situated in Govindpuram. It has an area of 900 sqft and is priced at Rs. 30.11 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Shastri Nagar,927.0,2991000.0,INR,1.0,1,0,"A plot property is available for sale in Shastri Nagar, Ghaziabad. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.9,,,,,,,,,,,,,
Indirapuram,980.0,11000000.0,INR,1.0,0,0,"This plot is available for sale and is located in the heart of Indirapuram. It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,972.0,10800000.0,INR,1.0,0,0,"972 Square feet Plot for sale in Niti Khand II, Ghaziabad. This land has a dimension of 54.0 mt length 18.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 36.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are JKG TT Academy, JKG International School, and Gulati Punjabi Swad",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,1800.0,40000000.0,INR,1.0,0,0,"1800 Square feet Plot for sale in Shakti Khand IV, Ghaziabad. This land has a dimension of 60.0 mt length 30.0 mt width. Price. This is a corner plot. The plot is East facing. There are 2 open sides for this plot. The width of the facing road is 60.0 mt. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Shanti Juniors Shaktikhand 3, GURUKUL Kathak Kendra, and JKG International School",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,1200.0,15500000.0,INR,1.0,0,0,"A plot is available at a prime location in Indirapuram. It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,1200.0,15500000.0,INR,1.0,0,0,"1200 Square feet Plot for sale in Niti Khand I, Ghaziabad. This land has a dimension of 60.0 mt length 20.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 36.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are JKG International School, Apollo Clinic, and Gulati Punjabi Swad",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,3780.0,55000000.0,INR,1.0,0,0,"A plot is available for sale in Indirapuram, Ghaziabad. It has an area of 3780 sqft and is priced at Rs. 5.50 cr . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,3780.0,50000000.0,INR,1.0,0,0,"A plot is available for sale in Indirapuram, Ghaziabad. It has a salable area of 3780 sqft and is available at a price of Rs. 13,227 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,3780.0,65000000.0,INR,1.0,0,0,"A plot is available at a prime location in Indirapuram. It has an area of 3780 sqft and is priced at Rs. 6.50 cr . It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,2625.0,39000000.0,INR,1.0,0,0,"A plot is available at a prime location in Indirapuram. It has a salable area of 2625 sqft and is available at a price of Rs. 14,857 per sqft. It is facing west direction. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,3745.0,65000000.0,INR,1.0,0,0,"3745 Square feet Plot for sale in Niti Khand II, Ghaziabad. This land has a dimension of 107.0 mt length 35.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 60.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Rise n Shine Pre School, JKG International School, and Gulati Punjabi Swad",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Indirapuram,1210.0,15000000.0,INR,1.0,0,0,"A plot is available at a prime location in Indirapuram. It has an area of 1210 sqft. The property is available at a price of Rs. 1.50 cr . It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Dasna,540.0,930000.0,INR,1.0,0,0,"540 Square feet Plot for sale in Wave City, Ghaziabad. This land has a dimension of 18.0 mt length 36.0 mt width. Price. The name of the project is Wave Dream Homes. The width of the facing road is 22.0 mt. The most popular landmarks near this plot are Zafferano Banquet, Vidya Jyoti Public School, and Bad Ram Charan Hospital Bambawar",1,,0,1,1,0,1,1,1,0,,,1,0,1.0,0,0,7.2,9.0,59.0,,,,,,,,,1.0,,
Chhapraula,315.0,350000.0,INR,1.0,0,0,"This plot is situated in Sundaram Construction Royal Garden, Chhapraula. It has a salable area of 315 sqft and is available at a price of Rs. 1,111 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,east,0,1,1,0,0,0,0,0,,,0,0,,0,1,,,,,,,,,,,,,,
Lal Kuan,720.0,1000000.0,INR,1.0,0,0,"This plot is situated in Aarvanss Infrastructure Mansarovar Park, Lal Kuan. It has a salable area of 720 sqft and is available at a price of Rs. 1,388 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,east,0,4,1,1,0,0,0,0,,,0,0,,1,1,7.4,7.8,123.0,,,,,,,,,,,
Lal Kuan,370.0,420000.0,INR,1.0,0,0,"A plot property is available for sale in Royal shape infratech Highway Homes, Lal Kuan, Ghaziabad. It has an area of 370 sqft. The property is available at a price of Rs. 4.20 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,east,0,0,1,0,0,0,1,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,450.0,1000000.0,INR,1.0,0,0,"A plot property is available for sale in Shri Krishna Promoters And Developers Gagan Enclave Phase 1, Lal Kuan, Ghaziabad. It has an area of 450 sqft. The property is available at a price of Rs. 10.00 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,1,0,0,0,0,0,,,0,0,1.0,0,0,7.4,,,,,,,,,,,,,
Lal Kuan,315.0,437500.0,INR,0.0,1,0,"This plot is situated in Aarvanss Infrastructure Mansarovar Park, Lal Kuan. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,0,1,1,0,0,1,0,,,0,0,,1,1,7.4,7.8,123.0,,,,,,,,,,,
Chhapraula,900.0,1540000.0,INR,1.0,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 900 sqft and is priced at Rs. 15.40 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,356.0,500000.0,INR,1.0,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula. It has an area of 356 sqft. The property is available at a price of Rs. 5.00 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Raj Nagar Extension,900.0,2190000.0,INR,1.0,1,0,"A plot property is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 900 sqft. The property is available at a price of Rs. 21.90 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Chhapraula,360.0,375000.0,INR,1.0,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 360 sqft and is priced at Rs. 3.75 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,west,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,356.0,550000.0,INR,1.0,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 356 sqft and is priced at Rs. 5.50 lac . Its entry is southeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,769.0,825500.0,INR,1.0,1,0,"It has an area of 769 sqft. The property is available at a price of Rs. 8.26 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,797.0,823000.0,INR,1.0,1,0,"This plot is available for sale and is located in Prithvi Associates Noida Greens, one of the most prestigious projects of Chhapraula. It has an area of 797 sqft. The property is available at a price of Rs. 8.23 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,445.0,565000.0,INR,1.0,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has a salable area of 445 sqft and is available at a price of Rs. 1,269 per sqft. Its entry is northwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,560.0,710000.0,INR,1.0,1,0,"A plot is available at a prime location in Prithvi Associates Noida Greens. It has an area of 560 sqft and is priced at Rs. 7.10 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,846.0,1282500.0,INR,1.0,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has a salable area of 846 sqft and is available at a price of Rs. 1,515 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,410.0,621000.0,INR,1.0,1,0,"It has an area of 410 sqft and is priced at Rs. 6.21 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,723.0,816000.0,INR,1.0,1,0,"A plot property is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has a salable area of 723 sqft and is available at a price of Rs. 1,128 per sqft. It is southeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,767.0,819000.0,INR,1.0,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula. It has a salable area of 767 sqft and is available at a price of Rs. 1,067 per sqft. It is facing northwest direction. The society is well connected by different modes of transportation. Contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,787.0,821000.0,INR,1.0,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula. It has an area of 787 sqft and is priced at Rs. 8.21 lac . Its entry is southeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,southeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,657.0,814000.0,INR,1.0,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has a salable area of 657 sqft and is available at a price of Rs. 1,238 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,1069.0,6000000.0,INR,1.0,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula. It has an area of 1069 sqft and is priced at Rs. 60.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,757.0,1147500.0,INR,1.0,1,0,"A plot is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 757 sqft and is priced at Rs. 11.48 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,534.0,720000.0,INR,1.0,1,0,"A plot property is available for sale in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 534 sqft and is priced at Rs. 7.20 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Nai Basti Dundahera,450.0,1150000.0,INR,1.0,1,0,"This plot is situated in Nai Basti Dundahera. It has a salable area of 450 sqft and is available at a price of Rs. 2,555 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,5,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,900.0,2200000.0,INR,1.0,1,0,"A plot is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 900 sqft and is priced at Rs. 22.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Chhapraula,450.0,1325000.0,INR,1.0,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 450 sqft and is priced at Rs. 13.25 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Chhapraula,425.0,1015000.0,INR,1.0,1,0,"A plot is available at a prime location in Prithvi Associates Noida Greens. It has an area of 425 sqft. The property is available at a price of Rs. 10.15 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
Raj Nagar Extension,1233.0,8990000.0,INR,1.0,1,0,"A plot is available for sale in Krishna Aprameya Group Enclave, Raj Nagar Extension, Ghaziabad. It has an area of 1233 sqft and is priced at Rs. 89.90 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,northeast,0,0,1,1,1,1,1,0,1.0,,1,0,1.0,1,1,,8.2,123.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Raj Nagar Extension,1233.0,8400000.0,INR,1.0,0,0,"This plot is available for sale and is located in Krishna Aprameya Group Enclave, one of the most prestigious projects of Raj Nagar Extension. It has a salable area of 1233 sqft and is available at a price of Rs. 6,812 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,east,0,0,1,1,1,1,1,0,1.0,,1,0,1.0,1,1,,8.2,123.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Raj Nagar Extension,1233.0,8260000.0,INR,1.0,0,0,"This plot is available for sale and is located in Krishna Aprameya Group Enclave, one of the most prestigious projects of Raj Nagar Extension. It has a salable area of 1233 sqft and is available at a price of Rs. 6,699 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,east,0,0,1,1,1,1,1,0,1.0,,1,0,1.0,1,1,,8.2,123.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Raj Nagar Extension,1233.0,9000000.0,INR,1.0,0,0,"It has an area of 1233 sqft. The property is available at a price of Rs. 90.00 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,1,1,1,1,1,0,1.0,,1,0,1.0,1,1,,8.2,123.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Chhapraula,540.0,960000.0,INR,1.0,1,0,"This plot is available for sale and is located in the heart of Chhapraula. It has an area of 540 sqft. The property is available at a price of Rs. 9.60 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Chhapraula,630.0,1120000.0,INR,1.0,1,0,"This plot is situated in Chhapraula, Ghaziabad. It has an area of 630 sqft and is priced at Rs. 11.20 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Lal Kuan,550.0,950000.0,INR,1.0,1,0,"550 Square feet Plot for sale in Girdharpur Sunarasi, Ghaziabad. This land has a dimension of 32.0 mt length 17.0 mt width. Price. The name of the project is Aarvanss Modern Heights. The width of the facing road is 17.0 mt. The most popular landmarks near this plot are Shree Ji Unitech Co., Sunrise Academy, and Merry Child International School",1,,0,4,1,0,1,1,1,0,1.0,,1,0,1.0,1,1,7.4,7.7,123.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,
Shakti Khand,3800.0,56000000.0,INR,0.0,0,0,A plot is available at a prime location in Shakti Khand. It has an area of 3800 sqft and is priced at Rs. 5.60 cr . It is east facing property. The site is in close proximity to various civic utilities. Please contact for more details. ,1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,9.3,,,,,,,,,,,,,
Chhapraula,459.0,875000.0,INR,1.0,1,0,"This plot is situated in Prithvi Associates Noida Greens, Chhapraula, Ghaziabad. It has an area of 459 sqft. The property is available at a price of Rs. 8.75 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,1.0,,,,,,,
